Name,Mid X,Mid Y,Rotation,Value,Package,Layer
C1,-8.76,3.56,180.00,4.7uF/10V,C0603,Top
C10,7.57,1.94,180.00,100nF,C0402,Top
C2,-8.76,1.91,180.00,100nF,C0402,Top
C3,-8.76,-2.92,180.00,10uF,C0402,Top
C4,-8.76,-1.78,180.00,100nF,C0402,Top
C5,-6.48,-8.89,0.00,1uF,C0402,Top
C6,-9.66,-8.88,180.00,1uF,C0402,Top
C7,-8.76,-0.51,180.00,10uF,C0402,Top
C8,-8.76,0.64,180.00,100nF,C0402,Top
C9,7.55,0.78,180.00,10uF,C0402,Top
R1,-7.93,-4.10,0.00,10k,R0402,Top
R2,7.45,3.03,0.00,39,R0402,Top
R3,-6.34,-10.01,180.00,10k,R0402,Top
R4,7.10,-2.42,0.00,100,R0402,Top
U2,-8.79,-6.38,180.00,TLV70019DDCRDDC5-L,DDC5-L,Top
X1,0.00,-12.64,180.00,BM08B-SRSS-TB,BM08B-SRSS-TB,Top
