Name,Mid X,Mid Y,Rotation,Value,Package,Layer
C1,-17.78,63.5,270.0,100uF/50V,PANASONIC_D,Top
C10,-23.57,100.74,90.0,47uF,C0603,Top
C11,-25.61,100.74,90.0,47uF,C0603,Top
C12,-30.3,99.0,0.0,100uF/50V,PANASONIC_D,Top
C13,-17.78,38.1,270.0,100uF/50V,PANASONIC_D,Top
C14,8.38,96.39,180.0,100nF,C0402,Top
C15,8.51,87.25,180.0,100nF,C0402,Top
C16,8.51,77.72,180.0,100nF,C0402,Top
C17,8.38,68.96,180.0,100nF,C0402,Top
C18,6.73,36.2,90.0,100pF,C0402K,Top
C19,7.37,32.64,0.0,100pF,C0402K,Top
C2,-17.78,15.24,270.0,100uF/50V,PANASONIC_D,Top
C20,-0.32,34.8,90.0,100pF,C0402K,Top
C21,6.73,56.46,90.0,100pF,C0402K,Top
C22,19.57,33.22,0.0,100pF,C0402,Top
C23,19.14,62.1,0.0,100pF,C0402K,Top
C24,6.86,61.98,90.0,100pF,C0402K,Top
C25,19.38,48.26,0.0,100pF,C0402K,Top
C26,19.43,51.05,0.0,100pF,C0402K,Top
C27,19.3,53.09,0.0,100pF,C0402K,Top
C3,19.53,19.05,0.0,100nF,C0603,Top
C4,19.53,21.59,0.0,100nF,C0603,Top
C5,-32.84,82.87,180.0,2.2uF,C0603,Top
C6,-32.83,84.91,180.0,2.2uF,C0603,Top
C7,-21.89,82.07,90.0,6.8nF,C0402,Top
C8,-22.3,84.23,0.0,39pF,C0402,Top
C9,-27.19,87.03,0.0,100nF,C0402,Top
CR1,-31.57,91.25,180.0,B560C-13-FSMC_DIO-L,SMC_DIO-L,Top
L1,-22.49,89.18,180.0,10uH,MWSA0503S-100MT,Top
R1,8.89,21.59,180.0,10k,RESC1608X60,Top
R10,19.18,29.21,180.0,10k,RESC1608X60,Top
R11,8.89,61.09,0.0,10k,RESC1608X60,Top
R12,19.18,57.15,180.0,10k,RESC1608X60,Top
R13,8.92,59.56,0.0,10k,RESC1608X60,Top
R14,8.66,54.64,0.0,10k,RESC1608X60,Top
R15,8.87,57.15,0.0,100,RESC1608X60,Top
R16,19.43,31.75,180.0,100,RESC1608X60,Top
R17,19.05,59.69,180.0,100,RESC1608X60,Top
R18,8.89,62.74,0.0,100,RESC1608X60,Top
R2,8.89,19.05,180.0,10k,RESC1608X60,Top
R20,19.43,46.99,180.0,100,RESC1608X60,Top
R21,19.56,49.53,180.0,100,RESC1608X60,Top
R22,19.18,54.61,180.0,100,RESC1608X60,Top
R23,-30.69,80.8,0.0,100k,RESC1005X40,Top
R24,-23.14,82.63,90.0,13k,RESC1005X40,Top
R25,-24.34,80.42,180.0,51k,RESC1005X40,Top
R26,-24.95,79.15,270.0,270k,RESC1005X40,Top
R27,8.89,11.43,180.0,10k,RESC1608X60,Top
R3,8.89,36.83,0.0,0R,RESC1608X60,Top
R4,8.89,34.29,0.0,100,RESC1608X60,Top
R5,-1.27,36.83,180.0,100,RESC1608X60,Top
R6,8.89,16.51,180.0,10k,RESC1608X60,Top
R7,8.89,13.97,180.0,10k,RESC1608X60,Top
R8,-1.91,27.81,90.0,1k,RESC1608X60,Top
SEN0,17.27,97.43,180.0,BM08B-GHS-TBT(LF)(SN)(N),JST_BM08B-GHS-TBT(LF)(SN)(N),Top
SEN1,17.27,88.29,180.0,BM08B-GHS-TBT(LF)(SN)(N),JST_BM08B-GHS-TBT(LF)(SN)(N),Top
SEN2,17.27,79.15,180.0,BM08B-GHS-TBT(LF)(SN)(N),JST_BM08B-GHS-TBT(LF)(SN)(N),Top
SEN3,17.27,70.0,180.0,BM08B-GHS-TBT(LF)(SN)(N),JST_BM08B-GHS-TBT(LF)(SN)(N),Top
U1,-27.45,83.85,0.0,TPS54360DDARDDA8_3P1X2P4_TEX,DDA8_3P1X2P4_TEX,Top
