Name,Mid X,Mid Y,Rotation,Value,Package,Layer
24V_IN,-30.61,53.89,270.0,,SCREWTERMINAL-5MM-2,Top
5V_IN,-30.61,5.55,270.0,,SCREWTERMINAL-5MM-2,Top
C1,-17.78,63.5,270.0,100uF/50V,PANASONIC_D,Top
C10,-23.45,100.87,90.0,47uF,CAPC2012X110,Top
C11,-25.48,100.87,90.0,47uF,CAPC2012X110,Top
C12,-30.3,99.0,0.0,100uF/50V,PANASONIC_D,Top
C13,-17.78,38.1,270.0,100uF/50V,PANASONIC_D,Top
C14,8.38,96.39,180.0,100nF,CAPC1005X60,Top
C15,8.51,87.25,180.0,100nF,CAPC1005X60,Top
C16,8.51,77.72,180.0,100nF,CAPC1005X60,Top
C17,8.38,68.96,180.0,100nF,CAPC1005X60,Top
C2,-17.78,15.24,270.0,100uF/50V,PANASONIC_D,Top
C28,19.56,24.13,0.0,100nF,CAPC1608X85,Top
C3,19.53,19.05,0.0,100nF,CAPC1608X85,Top
C4,19.53,21.59,0.0,100nF,CAPC1608X85,Top
C5,-32.84,82.87,180.0,2.2uF,CAPC1608X85,Top
C6,-32.83,84.91,180.0,2.2uF,CAPC1608X85,Top
C7,-21.64,82.07,90.0,6.8nF,CAPC1608X85,Top
C8,-22.3,84.61,0.0,39pF,CAPC1005X60,Top
C9,-27.19,87.03,0.0,100nF,CAPC1005X60,Top
CR1,-31.57,91.25,180.0,B560C-13-FSMC_DIO-L,SMC_DIO-L,Top
DISPLAY,24.32,53.69,270.0,,1X08,Top
HX1,-24.13,17.78,270.0,,1X08,Top
HX2,-11.43,17.78,90.0,,1X08,Top
HY1,-24.13,40.64,270.0,,1X08,Top
HY2,-11.43,40.64,90.0,,1X08,Top
HZ1,-24.13,66.04,270.0,,1X08,Top
HZ2,-11.43,66.04,90.0,,1X08,Top
J5,23.62,26.8,90.0,,1X10,Top
L1,-22.49,89.18,180.0,10uH,MWSA0503S-100MT,Top
R1,8.89,21.59,180.0,10k,RESC1608X60,Top
R10,19.18,29.21,180.0,10k,RESC1608X60,Top
R11,8.89,61.09,0.0,10k,RESC1608X60,Top
R12,19.18,57.15,180.0,10k,RESC1608X60,Top
R13,8.92,59.56,0.0,10k,RESC1608X60,Top
R14,8.66,54.64,0.0,10k,RESC1608X60,Top
R15,8.87,57.15,0.0,100R,RESC1608X60,Top
R16,19.43,31.75,180.0,100R,RESC1608X60,Top
R17,19.05,59.69,180.0,100R,RESC1608X60,Top
R18,8.89,62.74,0.0,100R,RESC1608X60,Top
R2,8.89,19.05,180.0,10k,RESC1608X60,Top
R20,19.43,46.99,180.0,100R,RESC1608X60,Top
R21,19.3,49.53,180.0,100R,RESC1608X60,Top
R22,19.18,54.61,180.0,100R,RESC1608X60,Top
R23,-30.69,80.8,0.0,100k,RESC1005X40,Top
R24,-23.14,82.63,90.0,13k,RESC1608X60,Top
R25,-24.46,80.17,180.0,51k,RESC1608X60,Top
R26,-24.57,78.39,270.0,270k,RESC1005X40,Top
R27,8.89,11.43,180.0,10k,RESC1608X60,Top
R3,8.89,36.83,0.0,0R,RESC1608X60,Top
R4,8.89,34.29,0.0,100R,RESC1608X60,Top
R5,-1.27,36.83,180.0,100R,RESC1608X60,Top
R6,8.89,16.51,180.0,10k,RESC1608X60,Top
R7,8.89,13.97,180.0,10k,RESC1608X60,Top
R8,-1.91,27.81,90.0,1k,RESC1608X60,Top
R9,8.89,24.13,180.0,10k,RESC1608X60,Top
S1,-12.54,96.14,0.0,ENCODER-SWITCH,ROTARY_ENC_PLAIN,Top
SEN0,17.27,97.43,180.0,BM08B-GHS-TBT(LF)(SN)(N),JST_BM08B-GHS-TBT(LF)(SN)(N),Top
SEN1,17.27,88.29,180.0,BM08B-GHS-TBT(LF)(SN)(N),JST_BM08B-GHS-TBT(LF)(SN)(N),Top
SEN2,17.27,79.15,180.0,BM08B-GHS-TBT(LF)(SN)(N),JST_BM08B-GHS-TBT(LF)(SN)(N),Top
SEN3,17.27,70.0,180.0,BM08B-GHS-TBT(LF)(SN)(N),JST_BM08B-GHS-TBT(LF)(SN)(N),Top
T1,-3.81,33.02,270.0,,1X24,Top
T2,11.45,33.05,90.0,,1X24,Top
U1,-27.45,83.85,0.0,TPS54360DDARDDA8_3P1X2P4_TEX,DDA8_3P1X2P4_TEX,Top
X_OUT,-29.21,19.05,0.0,HX25418-4A,HX25418-4A,Top
Y_OUT,-29.21,39.37,0.0,HX25418-4A,HX25418-4A,Top
Z_OUT,-29.21,67.31,0.0,HX25418-4A,HX25418-4A,Top
