Name,Mid X,Mid Y,Rotation,Value,Package,Layer
C10,25.40,82.17,180.00,47uF,C0603,Top
C11,25.40,84.71,180.00,47uF,C0603,Top
C3,16.99,19.05,0.00,100nF,C0603,Top
C4,16.99,21.59,0.00,100nF,C0603,Top
C5,9.17,100.46,90.00,2.2uF,C0603,Top
C6,11.22,100.44,90.00,2.2uF,C0603,Top
C7,8.38,89.50,0.00,6.8nF,C0402,Top
C8,10.54,89.92,270.00,39pF,C0402,Top
C9,13.59,94.93,270.00,100nF,C0402,Top
CR1,17.56,97.92,90.00,B560C-13-FSMC_DIO-L,SMC_DIO-L,Top
L1,15.48,88.83,90.00,10uH,MWSA0503S-100MT,Top
R1,5.08,21.59,180.00,10k,RESC1608X60,Top
R10,2.41,31.75,0.00,10k,RESC1608X60,Top
R11,2.41,62.23,0.00,10k,RESC1608X60,Top
R12,-2.41,46.99,180.00,10k,RESC1608X60,Top
R13,-2.50,44.45,180.00,10k,RESC1608X60,Top
R14,4.85,59.72,0.00,10k,RESC1608X60,Top
R15,-5.08,46.99,180.00,100,RESC1608X60,Top
R16,5.08,31.75,0.00,100,RESC1608X60,Top
R17,-5.08,44.45,180.00,100,RESC1608X60,Top
R18,5.08,62.23,0.00,100,RESC1608X60,Top
R19,15.62,8.89,0.00,100,RESC1608X60,Top
R2,5.08,19.05,180.00,10k,RESC1608X60,Top
R20,15.62,46.99,0.00,100,RESC1608X60,Top
R21,15.62,49.53,0.00,100,RESC1608X60,Top
R22,15.88,56.39,0.00,100,RESC1608X60,Top
R23,7.11,98.30,270.00,100k,RESC1005X40,Top
R24,8.94,90.75,0.00,13k,RESC1005X40,Top
R25,6.73,91.95,90.00,51k,RESC1005X40,Top
R26,5.46,92.56,180.00,270k,RESC1005X40,Top
R27,5.08,11.43,180.00,10k,RESC1608X60,Top
R3,5.08,36.83,0.00,100,RESC1608X60,Top
R4,5.08,34.29,0.00,100,RESC1608X60,Top
R5,-5.08,36.83,180.00,100,RESC1608X60,Top
R6,5.08,16.51,180.00,10k,RESC1608X60,Top
R7,5.08,13.97,180.00,10k,RESC1608X60,Top
R8,-5.71,27.81,90.00,1k,RESC1608X60,Top
R9,-5.64,58.42,270.00,1k,RESC1608X60,Top
SEN0,-11.43,85.45,180.00,BM08B-SRSS-TB,BM08B-SRSS-TB,Top
SEN1,-11.43,80.14,180.00,BM08B-SRSS-TB,BM08B-SRSS-TB,Top
SEN2,-11.43,75.29,180.00,BM08B-SRSS-TB,BM08B-SRSS-TB,Top
SEN2_1,2.54,76.56,180.00,BM08B-SRSS-TB,BM08B-SRSS-TB,Top
SEN3,-11.43,70.21,180.00,BM08B-SRSS-TB,BM08B-SRSS-TB,Top
SEN3_1,2.54,71.48,180.00,BM08B-SRSS-TB,BM08B-SRSS-TB,Top
U1,10.16,95.06,270.00,TPS54360DDARDDA8_3P1X2P4_TEX,DDA8_3P1X2P4_TEX,Top
